depth,from,to,call_type,function,gas_allocated,gas_used,gas_remaining,tx_gas_price,block_base_fee
0,0x3f7c10cbbb1ea1046a80b738b9eaf3217410c7f6,0xd01607c3c5ecaba394d8be377a08590149325722,call,depositETH,278851,177971,100880,2528694762,2478694762
1,0xd01607c3c5ecaba394d8be377a08590149325722,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,call,deposit,264724,23974,240750,2528694762,2478694762
1,0xd01607c3c5ecaba394d8be377a08590149325722,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,call,deposit,238198,141052,97146,2528694762,2478694762
2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x947f0054faed3481ff4e76ca35f12fbe36cc665b,delegatecall,deposit,229529,135988,93541,2528694762,2478694762
3,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x1ef34b91afc368174f579067d1db94325cdc7946,delegatecall,Unresolved_1913f161,221961,131895,90066,2528694762,2478694762
4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xea51d7853eefb32b6ee06b1c12e6dcca88be0ffe,staticcall,scaledTotalSupply,201434,7488,193946,2528694762,2478694762
5,0xea51d7853eefb32b6ee06b1c12e6dcca88be0ffe,0xb58ed8ec66e43de3fecd27e351485e7efe006f38,delegatecall,scaledTotalSupply,193357,2439,190918,2528694762,2478694762
4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,staticcall,scaledTotalSupply,173648,7422,166226,2528694762,2478694762
5,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,0x97f5b96c7dac8547251330b63760951a4fab448d,delegatecall,scaledTotalSupply,166005,2373,163632,2528694762,2478694762
4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x9ec6f08190dea04a54f8afc53db96134e5e3fdfb,staticcall,calculateInterestRates,162290,5973,156317,2528694762,2478694762
4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,call,transferFrom,151980,10225,141755,2528694762,2478694762
4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,call,mint,141426,26367,115059,2528694762,2478694762
5,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,0x97f5b96c7dac8547251330b63760951a4fab448d,delegatecall,mint,138699,25800,112899,2528694762,2478694762
6,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,0x8164cc65827dcfe994ab23944cbc90e0aa80bfcb,call,handleAction,123197,7701,115496,2528694762,2478694762
7,0x8164cc65827dcfe994ab23944cbc90e0aa80bfcb,0xe7b67f44ea304dd7f6d215b13686637ff64cd2b2,delegatecall,handleAction,116362,2675,113687,2528694762,2478694762
