Contract,Storage Slot,New Value
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x4ea34ea444b44e2141b34188e708fb78bfcce05efdbb8ee26dd8e14da335af6c,0x1236efcbcbb3400000
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x4ea34ea444b44e2141b34188e708fb78bfcce05efdbb8ee26dd8e14da335af6c,0x0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb064600732a82908427d092d333e607598a6238a59aeb45e1288cb0bac7161cf,0x13fc5b7984128b53c0bc
0x1ef34b91afc368174f579067d1db94325cdc7946,0xf81d8d79f42adb4c73cc3aa0c78e25d3343882d0313c0b80ece3d3a103ef1ec0,0x6a255f4d6346791bb54fcc00000000036409a1d90fb6c31705facb
0x1ef34b91afc368174f579067d1db94325cdc7946,0xf81d8d79f42adb4c73cc3aa0c78e25d3343882d0313c0b80ece3d3a103ef1ec1,0x8224536809382aa348a53c00000000037a857e9f0c011bd6f4894f
0x1ef34b91afc368174f579067d1db94325cdc7946,0xf81d8d79f42adb4c73cc3aa0c78e25d3343882d0313c0b80ece3d3a103ef1ec7,0x13ea2472cacf8211424500000000000000076e158f10506881bd
0x1ef34b91afc368174f579067d1db94325cdc7946,0xf81d8d79f42adb4c73cc3aa0c78e25d3343882d0313c0b80ece3d3a103ef1ec2,0x687fd577000000000000000000007130241f9be0
0x1ef34b91afc368174f579067d1db94325cdc7946,0xf81d8d79f42adb4c73cc3aa0c78e25d3343882d0313c0b80ece3d3a103ef1ec0,0x6981d3c03ba0e2abff63f800000000036409a1d90fb6c31705facb
0x1ef34b91afc368174f579067d1db94325cdc7946,0xf81d8d79f42adb4c73cc3aa0c78e25d3343882d0313c0b80ece3d3a103ef1ec1,0x816098302cd98e23b8d05d00000000037a857e9f0c011bd6f4894f
0x1ef34b91afc368174f579067d1db94325cdc7946,0xf81d8d79f42adb4c73cc3aa0c78e25d3343882d0313c0b80ece3d3a103ef1ec7,0x13fc5b62969b3551424500000000000000076e158f10506881bd
0x1ef34b91afc368174f579067d1db94325cdc7946,0xc10f2b70f315e391922830543854dd290baf3f7d325f00ebecb749ebd9fe7e8e,0x2
0x97f5b96c7dac8547251330b63760951a4fab448d,0x78a2c9c56dbf77e0060696a23df16b0ec60947b4120de0804c5c5051a386160e,0x36409a1d90fb6c31705facb00000000000000000000000000000000
0x97f5b96c7dac8547251330b63760951a4fab448d,0x36,0x1d530b08e24d2cea4f53c
0x97f5b96c7dac8547251330b63760951a4fab448d,0x78a2c9c56dbf77e0060696a23df16b0ec60947b4120de0804c5c5051a386160e,0x36409a1d90fb6c31705facb00000000000000115b75de781ec4e1d7
