depth,from,to,call_type,function,gas_allocated,gas_used,gas_remaining,tx_gas_price,block_base_fee
0,0x66466428990e0f42a4c54f64bee0db6bf2336de5,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,call,depositETH,187113,147249,39864,3146700276,2646700276
1,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,call,deposit,174408,23974,150434,3146700276,2646700276
1,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,call,deposit,147897,110334,37563,3146700276,2646700276
2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x947f0054faed3481ff4e76ca35f12fbe36cc665b,delegatecall,deposit,140639,105270,35369,3146700276,2646700276
3,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x1ef34b91afc368174f579067d1db94325cdc7946,delegatecall,Unresolved_1913f161,134460,101177,33283,3146700276,2646700276
4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xea51d7853eefb32b6ee06b1c12e6dcca88be0ffe,staticcall,scaledTotalSupply,115300,7488,107812,3146700276,2646700276
5,0xea51d7853eefb32b6ee06b1c12e6dcca88be0ffe,0xb58ed8ec66e43de3fecd27e351485e7efe006f38,delegatecall,scaledTotalSupply,108569,2439,106130,3146700276,2646700276
4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,staticcall,scaledTotalSupply,102026,7422,94604,3146700276,2646700276
5,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,0x97f5b96c7dac8547251330b63760951a4fab448d,delegatecall,scaledTotalSupply,95503,2373,93130,3146700276,2646700276
4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x9ec6f08190dea04a54f8afc53db96134e5e3fdfb,staticcall,calculateInterestRates,90668,5973,84695,3146700276,2646700276
4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,call,transferFrom,72089,10225,61864,3146700276,2646700276
4,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,call,mint,61535,26367,35168,3146700276,2646700276
5,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,0x97f5b96c7dac8547251330b63760951a4fab448d,delegatecall,mint,60056,25800,34256,3146700276,2646700276
6,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,0x8164cc65827dcfe994ab23944cbc90e0aa80bfcb,call,handleAction,45783,7701,38082,3146700276,2646700276
7,0x8164cc65827dcfe994ab23944cbc90e0aa80bfcb,0xe7b67f44ea304dd7f6d215b13686637ff64cd2b2,delegatecall,handleAction,40158,2675,37483,3146700276,2646700276
