depth,from,to,call_type,function
0,0xfde0d1575ed8e06fbf36256bcdfa1f359281455a,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,CALL,Unresolved_9846cd9e
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CALL,approve
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x04c154b66cb340f3ae24111cc767e0184ed00cc6,CALL,approve
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,CALL,approve
4,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,approve
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x1899ad7268e4e76d21b6a04061e17cec847a111b,CALL,approve
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,CALL,Unresolved_095ea7b3
2,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,DELEGATECALL,approve
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,CALL,Unresolved_095ea7b3
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,CALL,flashLoan
3,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,CALL,transfer
6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,transfer
2,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,CALL,Unresolved_31f57072
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,CALL,swap
5,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CALL,transfer
8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,balanceOf
4,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,CALL,Unresolved_fa461e33
5,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,CALL,transfer
8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,transfer
8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,balanceOf
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xc8eb2cf2f792f77af0cd9e203305a585e588179d,CALL,exchange0
4,0xc8eb2cf2f792f77af0cd9e203305a585e588179d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CALL,transferFrom
4,0xc8eb2cf2f792f77af0cd9e203305a585e588179d,0x04c154b66cb340f3ae24111cc767e0184ed00cc6,CALL,transfer
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,CALL,Unresolved_b08d0333
4,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,bond
9,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x04c154b66cb340f3ae24111cc767e0184ed00cc6,CALL,transferFrom
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,CALL,Unresolved_a9059cbb
4,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,transfer
7,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,DELEGATECALL,POOL_REWARDS
6,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x440daf974bf6c97e9442fffd022ca554ee94219c,CALL,swapV2Single
9,0x440daf974bf6c97e9442fffd022ca554ee94219c,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,CALL,Unresolved_23b872dd
10,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,transferFrom
9,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,allowance
10,0x440daf974bf6c97e9442fffd022ca554ee94219c,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,CALL,Unresolved_095ea7b3
11,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,approve
7,0x440daf974bf6c97e9442fffd022ca554ee94219c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,CALL,swapExactTokensForTokensSupportingFeeOnTransferTokens
9,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,CALL,Unresolved_23b872dd
10,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,transferFrom
10,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,balanceOf
9,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x1899ad7268e4e76d21b6a04061e17cec847a111b,CALL,swap
11,0x1899ad7268e4e76d21b6a04061e17cec847a111b,0xca1154bbd62c21868a358f9f782b90d69af600b0,CALL,Unresolved_a9059cbb
11,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,balanceOf
6,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,CALL,Unresolved_3694313d
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x0a7734281725f534f83d1bc9d91c40b1e80618cc,DELEGATECALL,depositFromPairedLpToken
11,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0xca1154bbd62c21868a358f9f782b90d69af600b0,CALL,Unresolved_a9059cbb
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xca1154bbd62c21868a358f9f782b90d69af600b0,CALL,Unresolved_6e553f65
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,CALL,transferFrom
7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,transferFrom
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,CALL,whitelistUpdate
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,CALL,approve
7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,approve
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,CALL,whitelistDeposit
7,0x3717e340140d30f3a077dd21fac39a86ace873aa,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,CALL,transferFrom
10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,transferFrom
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xca1154bbd62c21868a358f9f782b90d69af600b0,CALL,Unresolved_a9059cbb
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,CALL,Unresolved_a9059cbb
4,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,transfer
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x1899ad7268e4e76d21b6a04061e17cec847a111b,CALL,mint
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,balanceOf
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,CALL,Unresolved_adc9772e
4,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,DELEGATECALL,stake
6,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,CALL,Unresolved_d6460b4b
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x0a7734281725f534f83d1bc9d91c40b1e80618cc,DELEGATECALL,setShares
10,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,CALL,Unresolved_bb463027
11,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,processPreSwapFeesAndSwap
13,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,DELEGATECALL,POOL_REWARDS
7,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x1899ad7268e4e76d21b6a04061e17cec847a111b,CALL,transferFrom
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,CALL,Unresolved_6e553f65
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,lpStakingPool
5,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,DELEGATECALL,POOL_REWARDS
5,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x0a7734281725f534f83d1bc9d91c40b1e80618cc,DELEGATECALL,getAllRewardsTokens
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,PAIRED_LP_TOKEN
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,lpRewardsToken
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,PAIRED_LP_TOKEN
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,lpStakingPool
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,CALL,Unresolved_23b872dd
5,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,DELEGATECALL,transferFrom
7,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,CALL,Unresolved_d6460b4b
8,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x0a7734281725f534f83d1bc9d91c40b1e80618cc,DELEGATECALL,setShares
11,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,CALL,Unresolved_bb463027
12,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,processPreSwapFeesAndSwap
14,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,DELEGATECALL,POOL_REWARDS
7,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,CALL,Unresolved_d6460b4b
8,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x0a7734281725f534f83d1bc9d91c40b1e80618cc,DELEGATECALL,setShares
11,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,CALL,Unresolved_bb463027
12,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,processPreSwapFeesAndSwap
14,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,DELEGATECALL,POOL_REWARDS
14,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0xca1154bbd62c21868a358f9f782b90d69af600b0,CALL,Unresolved_a9059cbb
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xca1154bbd62c21868a358f9f782b90d69af600b0,CALL,Unresolved_e5f13b16
6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,decimals
9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,decimals
6,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,decimals
6,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,unlocked
6,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,convertToAssets
6,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,DEBOND_FEE
6,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,DEBOND_FEE
6,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,DELEGATECALL,stakingToken
6,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,PAIRED_LP_TOKEN
6,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,DELEGATECALL,decimals
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x91d07e071ed64ea2a11ecea0a067e275697f404b,CALL,Unresolved_23b872dd
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,CALL,whitelistWithdraw
7,0x3717e340140d30f3a077dd21fac39a86ace873aa,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,CALL,transfer
10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,transfer
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,CALL,transfer
